url,url_length,entropy,has_ip,num_subdomains,label
https://fscore.com.gh,21,3.725650756112093,0,2,0
http://pcnw1009230.pages.dev/,29,4.159199529386524,0,2,1
https://cobaltx-rpcdebug.pages.dev/,35,4.185867302411998,0,2,1
https://1986.zeabur.app/,24,3.938721875540868,0,2,1
https://polon-dom.ru,20,3.7841837197791888,0,1,0
https://jifulive.com,20,4.021928094887362,0,1,0
https://forwp.com,17,3.616874605956223,0,1,0
https://courrieelllwebb.weebly.com/,35,3.954442574694574,0,2,1
https://dpd.parcelstahxe.bond/com,33,4.043801694853791,0,2,1
https://pellahosting.com,24,3.886842188131012,0,1,0
https://dnsfilter.cc,20,3.7841837197791888,0,1,0
https://sclqld.org.au,21,3.916126946588283,0,2,0
https://u18chan.com,19,3.82687488186464,0,1,0
https://xhamster-porn.yachts,28,3.896291529045928,0,1,0
http://allegrolokalnie.dla-ciebie-oferty16253.sbs,49,4.507794926614647,0,2,1
https://wineberserkers.com,26,3.8731406795131327,0,1,0
https://bouyguestelecom.espace-facture.com/,43,4.065117661376963,0,2,1
https://nrpltrnsfertccntss.wixsite.com/my-site-1,48,4.091408657560511,0,2,1
https://kpbs.org,16,3.5,0,1,0
https://neoimport.ru/wp-content/,32,3.816428031846024,0,1,1
https://wiv8ri.lat/c7uup3ox/tfgihf/n4meoo,41,4.452200407575065,0,1,1
https://020tzs.com,18,3.5724312513221195,0,1,0
https://nj.gov-lvk.cc/mvc,25,3.913269689515108,0,2,1
https://online-irs.digital/,27,3.884155094595805,0,1,1
https://scnv.io/uuva,20,3.6841837197791887,0,1,1
https://allegro-lokalnie.0t0394t93d-d1.cfd/,43,4.460921149950308,0,2,1
https://weduhosting.com,23,3.969001629875993,0,1,0
http://santstest.live,21,3.422577995321604,0,1,1
https://app.google,18,3.4613201402110083,0,1,0
https://ibpbhdd20260rdr1.webcindario.com/,41,4.308294687333843,0,2,1
https://home-livepage.wixstudio.com/en-us,41,4.289882797037173,0,2,1
https://ssos-ehess.weebly.com/,30,3.698068512058839,0,2,1
https://linqapp.com/familygood,30,4.098068512058839,0,1,1
https://amex-puntos.com/,24,3.855388542207536,0,1,1
https://api.kcer.es/,20,3.5841837197791886,0,2,1
https://device-bridge.wixstudio.com/en-us,41,4.259514199528965,0,2,1
https://kbprycjim.com,21,3.916126946588284,0,1,0
https://ameli-espace-assurance.com/,35,3.943289445392768,0,1,1
https://mmpro.vn,16,3.5,0,1,0
https://gazetadigital.com.br,28,4.066108939837481,0,2,0
https://appledger.wixstudio.com/learn,37,4.262979041070738,0,2,1
https://wmail003tgzkr.weebly.com/,33,4.392582755590972,0,2,1
https://ssk-gaz.ru,18,3.683542362433231,0,1,0
https://colehaan.eu,19,3.7216117239699034,0,1,0
https://moodpulsegalp.pages.dev/,32,3.866729296672175,0,2,1
https://adulthentai.net,23,3.584012370211935,0,1,0
https://briumvi.com,19,3.82687488186464,0,1,0
https://broadjump.com,21,3.916126946588284,0,1,0
https://taberhols.co.uk,23,3.882045108136863,0,2,0
https://tdearequestcancellationform.weebly.com/,47,4.258974958282296,0,2,1
https://nexusmonitor.de,23,3.882045108136863,0,1,0
https://columbuscomedy.com/wo8ta4bcox,37,4.131769501279566,0,1,1
